2025-08-30 13:13:12 | INFO | search | ddgs.text -> 5 hits
2025-08-30 13:13:26 | INFO | fetch | fetched https://fabannualreport2024.com/documents/FAB-annual-report-2024.pdf chars=13052342
2025-08-30 13:13:28 | INFO | fetch | fetched https://www.bankfab.com/en-ae/about-fab/investor-relations/debt-investor-information/credit-ratings chars=2841
2025-08-30 13:13:30 | INFO | fetch | fetched https://fabannualreport2024.com/ chars=10908
2025-08-30 13:14:25 | INFO | fetch | fetched https://www.dubaifirst.com/-/media/fabgroup/home/about-fab/sustainability/reports/2019esgreport_corp.pdf chars=43862967
2025-08-30 13:14:27 | INFO | fetch | fetched https://gloat.com/impacts/first-abu-dhabi-bank-gave-their-talent-a-personalized-career-climbing-wall/ chars=18482
2025-08-30 13:14:27 | INFO | search | ddgs.text q='First Abu Dhabi Bank (FAB) support channels' region=xa-en safe=moderate backend=auto timeout=20s proxy=False
2025-08-30 13:14:28 | INFO | primp | response: https://en.wikipedia.org/w/api.php?action=opensearch&profile=fuzzy&limit=1&search=First%20Abu%20Dhabi%20Bank%20%28FAB%29%20support%20channels 200
2025-08-30 13:14:28 | INFO | primp | response: https://www.bing.com/search?q=First+Abu+Dhabi+Bank+%28FAB%29+support+channels&pq=First+Abu+Dhabi+Bank+%28FAB%29+support+channels&cc=en 200
2025-08-30 13:14:28 | INFO | search | ddgs.text -> 5 hits
2025-08-30 13:14:30 | WARNING | fetch | fetch failed for https://www.zhihu.com/question/626729181: 403 Client Error: Forbidden for url: https://www.zhihu.com/question/626729181
2025-08-30 13:14:33 | INFO | fetch | fetched https://zhidao.baidu.com/question/1947807648944181548.html chars=78
2025-08-30 13:14:37 | INFO | fetch | fetched https://zhidao.baidu.com/question/376246823.html chars=78
2025-08-30 13:14:39 | WARNING | fetch | fetch failed for https://www.zhihu.com/question/415816830: 403 Client Error: Forbidden for url: https://www.zhihu.com/question/415816830
2025-08-30 13:14:43 | INFO | fetch | fetched https://zhidao.baidu.com/question/44933874.html chars=78
2025-08-30 13:15:04 | INFO | llm | embed batch=63 latency=21.49s
2025-08-30 13:15:04 | INFO | llm | embed batch=1 latency=0.11s
2025-08-30 13:15:04 | INFO | orchestrator | enrichment: synthesize First Abu Dhabi Bank (FAB) hits=5
2025-08-30 13:15:04 | INFO | orchestrator | enrichment built chars=3509
2025-08-30 13:15:23 | INFO | llm | LLM stream total_chars=526 latency=18.79s
2025-08-30 13:15:23 | INFO | orchestrator | events:research:done company=First Abu Dhabi Bank (FAB) hits=5
2025-08-30 13:33:16 | INFO | uvicorn.error | Shutting down
2025-08-30 13:33:16 | INFO | uvicorn.error | Waiting for application shutdown.
2025-08-30 13:33:16 | INFO | uvicorn.error | Application shutdown complete.
2025-08-30 13:33:16 | INFO | uvicorn.error | Finished server process [10896]
2025-08-30 13:38:44 | INFO | vectorstore | vectorstore: PG not configured; using in-memory store
2025-08-30 13:38:44 | INFO | uvicorn.error | Started server process [10392]
2025-08-30 13:38:44 | INFO | uvicorn.error | Waiting for application startup.
2025-08-30 13:38:49 | INFO | llm | LLM ready=True latency=4.49s
2025-08-30 13:38:50 | INFO | llm | Embeddings ready=True latency=0.85s
2025-08-30 13:38:50 | INFO | uvicorn.error | Startup OK | online_search=True | vector_store=memory
2025-08-30 13:38:50 | INFO | uvicorn.error | Application startup complete.
2025-08-30 13:38:54 | INFO | llm | LLM ready=True latency=1.85s
2025-08-30 13:38:54 | INFO | llm | Embeddings ready=True latency=0.07s
2025-08-30 13:38:54 | INFO | uvicorn.access | 127.0.0.1:51535 - "GET /api/health HTTP/1.1" 200
2025-08-30 13:39:07 | INFO | llm | LLM ready=True latency=1.98s
2025-08-30 13:39:07 | INFO | llm | Embeddings ready=True latency=0.06s
2025-08-30 13:39:07 | INFO | uvicorn.access | 127.0.0.1:51541 - "GET /api/health HTTP/1.1" 200
2025-08-30 13:39:09 | INFO | uvicorn.access | 127.0.0.1:51545 - "GET /api/companies HTTP/1.1" 200
2025-08-30 13:39:23 | INFO | llm | LLM ready=True latency=1.90s
2025-08-30 13:39:23 | INFO | llm | Embeddings ready=True latency=0.07s
2025-08-30 13:39:23 | INFO | uvicorn.access | 127.0.0.1:51547 - "GET /api/health HTTP/1.1" 200
2025-08-30 13:39:25 | INFO | uvicorn.access | 127.0.0.1:51551 - "GET /api/stream/research/c1?online=true HTTP/1.1" 200
2025-08-30 13:39:25 | INFO | orchestrator | events:research:start company=stc (Saudi Telecom Company) id=c1 online=True
2025-08-30 13:39:25 | INFO | search | ddgs.text q='site:stc.com.sa customer experience' region=xa-en safe=moderate backend=auto timeout=20s proxy=False
2025-08-30 13:39:26 | INFO | primp | response: https://en.wikipedia.org/w/api.php?action=opensearch&profile=fuzzy&limit=1&search=site%3Astc.com.sa%20customer%20experience 200
2025-08-30 13:39:27 | INFO | primp | response: https://www.mojeek.com/search?q=site%3Astc.com.sa+customer+experience 200
2025-08-30 13:39:27 | INFO | search | ddgs.text -> 5 hits
2025-08-30 13:39:29 | INFO | fetch | fetched https://www.stc.com.sa/content/stc/sa/en/personal/mobile/other-services.html chars=26915
